Time: Wed Apr 26 09:37:35 GMT-03:00 2006 - jbassino - ibassino - 223.255.255.248 - User: root - Loggin
Time: Mon Jul 13 21:34:27 CST 2009 - alex - alex - 192.168.1.110 - User: root - Loggin
Time: Mon Jul 13 21:35:10 CST 2009 - alex - alex - 192.168.1.110 - User: root - Loggin
Time: Mon Jul 13 21:36:06 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_PRICE_AND_SCHEDULE
Time: Mon Jul 13 21:36:59 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_PRICE_AND_SCHEDULE
Time: Mon Jul 13 21:38:48 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_PRICE_AND_SCHEDULE
Time: Mon Jul 13 21:39:49 CST 2009 - alex - alex - 192.168.1.110 - User: root - Loggin
Time: Mon Jul 13 21:39:53 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_PRICE_AND_SCHEDULE
Time: Mon Jul 13 21:39:58 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_PRICE_AND_SCHEDULE
Time: Mon Jul 13 21:50:29 CST 2009 - alex - alex - 192.168.1.110 - User: root - Loggin
Time: Mon Jul 13 21:51:29 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_PRICES
Time: Mon Jul 13 21:53:16 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_PRICES
Time: Mon Jul 13 21:54:32 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_PRICES
Time: Mon Jul 13 21:54:57 CST 2009 - alex - alex - 192.168.1.110 - User: root - Loggin
Time: Mon Jul 13 21:54:58 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_PRICES
Time: Mon Jul 13 21:56:39 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_REPORT_NAME
Time: Mon Jul 13 21:56:56 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_REPORT_NAME
Time: Mon Jul 13 21:57:07 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_DISTRIBUTION_SALARY_ACCUM
Time: Mon Jul 13 21:58:02 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_PRICES
Time: Mon Jul 13 21:59:16 CST 2009 - alex - alex - 192.168.1.110 - User: root - Loggin
Time: Mon Jul 13 22:00:24 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_PRICES
Time: Mon Jul 13 22:01:24 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_PRICES
Time: Mon Jul 13 22:02:02 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_PRICES
Time: Mon Jul 13 22:02:38 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_PRICES
Time: Mon Jul 13 22:12:19 CST 2009 - alex - alex - 192.168.1.110 - User: root - Loggin
Time: Mon Jul 13 22:12:23 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_PRICES
Time: Mon Jul 13 22:14:08 CST 2009 - alex - alex - 192.168.1.110 - User: root - Loggin
Time: Mon Jul 13 22:15:02 CST 2009 - alex - alex - 192.168.1.110 - User: root - Loggin
Time: Mon Jul 13 22:15:07 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_PRICES
Time: Mon Jul 13 17:10:08 CST 2009 - Administrator - server - 172.17.0.111 - User: root - Loggin
Time: Mon Jul 13 17:10:15 CST 2009 - Administrator - server - 172.17.0.111 - User: root - RD_PRICES
Time: Mon Jul 13 17:18:14 CST 2009 - Administrator - server - 172.17.0.111 - User: root - Loggin
Time: Mon Jul 13 17:18:16 CST 2009 - Administrator - server - 172.17.0.111 - User: root - RD_PRICES
Time: Mon Jul 13 17:18:29 CST 2009 - Administrator - server - 172.17.0.111 - User: root - RD_PRICES
Time: Mon Jul 13 17:19:09 CST 2009 - Administrator - server - 172.17.0.111 - User: root - Loggin
Time: Mon Jul 13 17:19:15 CST 2009 - Administrator - server - 172.17.0.111 - User: root - RD_PRICES
Time: Mon Jul 13 09:31:39 CST 2009 - Administrator - server - 172.17.0.111 - User: root - Loggin
Time: Mon Jul 13 09:31:42 CST 2009 - Administrator - server - 172.17.0.111 - User: root - RD_PRICES
Time: Fri Jul 17 19:44:44 CST 2009 - alex - alex - 192.168.1.108 - User: root - Loggin
Time: Fri Jul 17 19:45:09 CST 2009 - alex - alex - 192.168.1.108 - User: root - RD_PRICES
Time: Fri Jul 17 20:05:43 CST 2009 - alex - alex - 192.168.1.108 - User: root - Loggin
Time: Fri Jul 17 20:05:45 CST 2009 - alex - alex - 192.168.1.108 - User: root - RD_PRICES
Time: Fri Jul 17 20:07:41 CST 2009 - alex - alex - 192.168.1.108 - User: root - Loggin
Time: Fri Jul 17 20:08:29 CST 2009 - alex - alex - 192.168.1.108 - User: root - RD_PRICES
Time: Fri Jul 17 22:46:16 CST 2009 - alex - alex - 192.168.1.108 - User: root - Loggin
Time: Fri Jul 17 22:46:22 CST 2009 - alex - alex - 192.168.1.108 - User: root - RD_PRICES
Time: Sun Aug 02 18:20:05 CST 2009 - alex - alex - 192.168.1.105 - User: root - Loggin
Time: Sun Aug 02 18:20:15 CST 2009 - alex - alex - 192.168.1.105 - User: root - RD_PRICES
