Time: Wed Apr 26 09:37:35 GMT-03:00 2006 - jbassino - ibassino - 223.255.255.248 - User: root - Loggin
Time: Mon Jul 13 21:34:27 CST 2009 - alex - alex - 192.168.1.110 - User: root - Loggin
Time: Mon Jul 13 21:35:10 CST 2009 - alex - alex - 192.168.1.110 - User: root - Loggin
Time: Mon Jul 13 21:36:06 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_PRICE_AND_SCHEDULE
Time: Mon Jul 13 21:36:59 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_PRICE_AND_SCHEDULE
Time: Mon Jul 13 21:38:48 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_PRICE_AND_SCHEDULE
Time: Mon Jul 13 21:39:49 CST 2009 - alex - alex - 192.168.1.110 - User: root - Loggin
Time: Mon Jul 13 21:39:53 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_PRICE_AND_SCHEDULE
Time: Mon Jul 13 21:39:58 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_PRICE_AND_SCHEDULE
Time: Mon Jul 13 21:50:29 CST 2009 - alex - alex - 192.168.1.110 - User: root - Loggin
Time: Mon Jul 13 21:51:29 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_PRICES
Time: Mon Jul 13 21:53:16 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_PRICES
Time: Mon Jul 13 21:54:32 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_PRICES
Time: Mon Jul 13 21:54:57 CST 2009 - alex - alex - 192.168.1.110 - User: root - Loggin
Time: Mon Jul 13 21:54:58 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_PRICES
Time: Mon Jul 13 21:56:39 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_REPORT_NAME
Time: Mon Jul 13 21:56:56 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_REPORT_NAME
Time: Mon Jul 13 21:57:07 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_DISTRIBUTION_SALARY_ACCUM
Time: Mon Jul 13 21:58:02 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_PRICES
Time: Mon Jul 13 21:59:16 CST 2009 - alex - alex - 192.168.1.110 - User: root - Loggin
Time: Mon Jul 13 22:00:24 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_PRICES
Time: Mon Jul 13 22:01:24 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_PRICES
Time: Mon Jul 13 22:02:02 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_PRICES
Time: Mon Jul 13 22:02:38 CST 2009 - alex - alex - 192.168.1.110 - User: root - RD_PRICES
Time: Fri Jul 17 07:30:52 CST 2009 - alex - alex - 192.168.1.108 - User: root - Loggin
Time: Fri Jul 17 07:38:43 CST 2009 - alex - alex - 192.168.1.108 - User: root - RD_RECEIVABLES
Time: Fri Jul 17 07:40:44 CST 2009 - alex - alex - 192.168.1.108 - User: root - RD_RECEIVABLES
Time: Fri Jul 17 07:41:44 CST 2009 - alex - alex - 192.168.1.108 - User: root - RD_RECEIVABLES
Time: Fri Jul 17 07:50:31 CST 2009 - alex - alex - 192.168.1.108 - User: root - RD_PAYMENTS
Time: Fri Jul 17 07:51:09 CST 2009 - alex - alex - 192.168.1.108 - User: root - Loggin
Time: Fri Jul 17 07:51:14 CST 2009 - alex - alex - 192.168.1.108 - User: root - RD_PAYMENTS
